Name	B1	B2	B3	B4	B5	B6	F1	F2	F3	F4	F5	F6
Maltose	7.077014897050792	7.079609291548509	7.098215297329236	7.117882156246956	7.105793563237843	7.048788340357768	6.394906576773562	6.403494613156109	6.419065964688771	6.384993198934973	6.380648210502327	6.390785581838647
Sphingosine	9.183278453353132	9.179625498436316	9.161849032691	9.170983642203916	9.176822954629108	9.174858972152824	8.869077869902053	8.851368526848985	8.881089441549033	8.864865361144822	8.86691042193619	8.865007157851853
N-Acetylcadaverine	6.078619227177819	6.111779051978294	6.101256499153767	6.098510430295708	6.106731663208184	6.097622456258571	6.857215789638471	6.846778240083456	6.8640929210015225	6.850396565962498	6.865675932987508	6.862235764343799
Aspartate	5.896890590394904	5.854405351830247	5.8086254754820486	5.855677179347404	5.89677877172012	5.842822996155364	6.55218992980214	6.5470854914520284	6.545380086409075	6.531977887574128	6.544305791422774	6.537809241525625
Adenine	8.36360928542965	8.358626356167926	8.419640379989648	8.38084001488715	8.377433624153745	8.370178031167228	8.781196929749477	8.799378131937491	8.786096871899232	8.780227168809215	8.781019836975773	8.824672825156995
N-Acetylhistamine	6.4905194077434505	6.538600719805058	6.509289167369028	6.538589890362394	6.495301894604746	6.547735373157574	7.19971582172678	7.236072034857205	7.216447371364277	7.207219922174561	7.211801489872701	7.196957570739643
Caprolactam	6.3611858432179496	6.229198142589558	6.27202518229868	7.111855671444181	6.159883714180607	6.384817121195746	7.364458311773477	7.424704710903392	7.384730806245742	7.3911880868137745	7.408637310899417	7.374148206357378
Guanine	7.000894482786258	6.988391089447894	6.983129047816652	6.9954203463037175	6.983940366087524	6.974587971377527	6.240774965950466	6.263530600890211	6.270224093989727	6.26795054144168	6.273250866708823	6.2710513019782415
Isonicotinic acid	7.42789128431945	7.420983077626224	7.476411125126891	7.483022842527458	7.50219668266874	7.490441680736177	7.712656469114747	7.826354443826804	7.753135729649537	7.827283494873525	7.796191304195059	7.81675322126146
Phloretate	7.501303051637551	7.5034967427203	7.492530549604483	7.489653309031421	7.490556210497653	7.500257988332368	8.141432508785877	8.154194961576955	8.148197171500748	8.157585154356518	8.145855665871899	8.147333997098437
Hygric acid	6.449090010646852	6.486991565417337	6.5575967509518485	6.558565937604431	6.548882576274451	6.553855143124776	6.940500348906048	6.980857563367925	6.948899228770886	6.938162909174089	6.935985719792101	6.944969671914296
beta-Guanidinopropionic acid	8.23236247705528	8.244458012884103	8.262096731341313	8.261865367218178	8.259798424002044	8.261391515859787	7.636558929440135	7.646172009690286	7.637914043690333	7.631592286084317	7.640712326415564	7.643120244454602
Cordycepin	8.269684119805397	8.243987437150354	8.26374961862818	8.269794727820917	8.26444822088449	8.217660701912948	7.810482970978477	7.838351764048276	7.832092025060154	7.814006958341991	7.837932769367613	7.838335190068443
Eplerenone	7.85512760656236	7.829731960321784	7.82666301571758	7.821504976738025	7.837771353281218	7.762943918071176	8.15068955808856	8.163205221955813	8.164523086969409	8.137837745320498	8.121247270085764	8.182539795794163
